#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
ruthenian;Ruthenian;;;;;;;;;;;;;x
ukrainian;Ukrainian;;;;;;;;;;;;;x
ulich;Ulich;;;;;;;;;;;;;x
polianian;Polianian;;;;;;;;;;;;;x
dregovich;Dregovich;;;;;;;;;;;;;x
severian;Severian;;;;;;;;;;;;;x
radimich;Radimich;;;;;;;;;;;;;x
krivich;Krivich;;;;;;;;;;;;;x
vyatich;Vyatich;;;;;;;;;;;;;x
slovenian;Ilmen Slav;;;;;;;;;;;;;x
volhynian;Volhynian;;;;;;;;;;;;;x
rusyn;Rusyn;;;;;;;;;;;;;x
#Rulers
#ruthenian
emperor_ruthenian;Velikiy Knyaz;;;;;;;;;;;;;x
emperor_female_ruthenian;Velika Kniagina;;;;;;;;;;;;;x
king_ruthenian;Grand Prince;;;;;;;;;;;;;x
king_female_ruthenian;Grand Princess;;;;;;;;;;;;;x
duke_ruthenian;Prince;;;;;;;;;;;;;x
duke_female_ruthenian;Princess;;;;;;;;;;;;;x
count_ruthenian;Autonomous Prince;;;;;;;;;;;;;x
count_female_ruthenian;Autonomous Princess;;;;;;;;;;;;;x
baron_ruthenian;Boyar;;;;;;;;;;;;;x
baron_female_ruthenian;Boyarina;;;;;;;;;;;;;x
#ukrainian
emperor_ukrainian;Velikiy Knyaz;;;;;;;;;;;;;x
emperor_female_ukrainian;Velika Kniagina;;;;;;;;;;;;;x
king_ukrainian;Grand Prince;;;;;;;;;;;;;x
king_female_ukrainian;Grand Princess;;;;;;;;;;;;;x
duke_ukrainian;Prince;;;;;;;;;;;;;x
duke_female_ukrainian;Princess;;;;;;;;;;;;;x
count_ukrainian;Autonomous Prince;;;;;;;;;;;;;x
count_female_ukrainian;Autonomous Princess;;;;;;;;;;;;;x
baron_ukrainian;Boyar;;;;;;;;;;;;;x
baron_female_ukrainian;Boyarina;;;;;;;;;;;;;x
#russian
king_russian;Velikiy Knyaz;;;;;;;;;;;;;x
king_female_russian;Velikaya Kniagina;;;;;;;;;;;;;x
duke_russian;Knyaz;;;;;;;;;;;;;x
duke_female_russian;Kniagina;;;;;;;;;;;;;x
count_russian;Graf;;;;;;;;;;;;;x
count_female_russian;Grafinya;;;;;;;;;;;;;x
baron_russian;Boyar;;;;;;;;;;;;;x
baron_female_russian;Boyarina;;;;;;;;;;;;;x
#rusyn
emperor_rusyn;Velikiy Knyaz;;;;;;;;;;;;;x
emperor_female_rusyn;Velika Kniagina;;;;;;;;;;;;;x
king_rusyn;Grand Prince;;;;;;;;;;;;;x
king_female_rusyn;Grand Princess;;;;;;;;;;;;;x
duke_rusyn;Prince;;;;;;;;;;;;;x
duke_female_rusyn;Princess;;;;;;;;;;;;;x
count_rusyn;Autonomous Prince;;;;;;;;;;;;;x
count_female_rusyn;Autonomous Princess;;;;;;;;;;;;;x
baron_rusyn;Boyar;;;;;;;;;;;;;x
baron_female_rusyn;Boyarina;;;;;;;;;;;;;x
#ulich
emperor_ulich;Grand Prince;;;;;;;;;;;;;x
emperor_female_ulich;Grand Princess;;;;;;;;;;;;;x
king_ulich;Prince;;;;;;;;;;;;;x
king_female_ulich;Princess;;;;;;;;;;;;;x
duke_ulich;High Chief;;;;;;;;;;;;;x
duke_female_ulich;High Chieftess;;;;;;;;;;;;;x
count_ulich;Chief;;;;;;;;;;;;;x
count_female_ulich;Chieftess;;;;;;;;;;;;;x
baron_ulich;Boyar;;;;;;;;;;;;;x
baron_female_ulich;Boyarina;;;;;;;;;;;;;x
#volhynian
emperor_volhynian;Grand Prince;;;;;;;;;;;;;x
emperor_female_volhynian;Grand Princess;;;;;;;;;;;;;x
king_volhynian;Prince;;;;;;;;;;;;;x
