#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
convert_to_ukrainian;Embrace Ukrainian Culture;Embrace Ukrainian Culture;Embrace Ukrainian Culture;;Embrace Ukrainian Culture;;;;;;;;;x
convert_to_ukrainian_desc;Our brethren in Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Our brethren in Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Our brethren in Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;Our brethren in Muscovy are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;x
convert_to_russian;Embrace Russian Culture;Embrace Russian Culture;Embrace Russian Culture;;Embrace Russian Culture;;;;;;;;;x
convert_to_russian_desc;Our brethren in Kiev are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Our brethren in Kiev are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;Our brethren in Kiev are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;Our brethren in Kiev are adopting foreign customs and speak with ever thicker accents. Perhaps it is time to develop our own distinct culture...;;;;;;;;;x
convert_to_ruthenian;Embrace Ruthenian Culture;Embrace Ruthenian Culture;Embrace Ruthenian Culture;;Embrace Ruthenian Culture;;;;;;;;;x
convert_to_ruthenian_desc;Our people came to the point where they cannot longer consider themselves as  a part of our tribe. Perhaps it is time to lead them not as a tribal chief but as their Ruthenian leader.;Our people came to the point where they cannot longer consider themselves as  a part of our tribe. Perhaps it is time to lead them not as a tribal chief but as their Ruthenian leader.;Our people came to the point where they cannot longer consider themselves as  a part of our tribe. Perhaps it is time to lead them not as a tribal chief but as their Ruthenian leader.;;Our people came to the point where they cannot longer consider themselves as  a part of our tribe. Perhaps it is time to lead them not as a tribal chief but as their Ruthenian leader.;;;;;;;;;x
rule_ulichi;Rull the Tribe of Ulichi;Rull the Tribe of Ulichi;Rull the Tribe of Ulichi;;Rull the Tribe of Ulichi;;;;;;;;;x
rule_ulichi_desc;Become High Chief of Ulichi and lead your brethren to glory.;Become High Chief of Ulichi and lead your brethren to glory.;Become High Chief of Ulichi and lead your brethren to glory.;;Become High Chief of Ulichi and lead your brethren to glory.;;;;;;;;;x
rule_polianians;Rull the Tribe of Polianians;Rull the Tribe of Polianians;Rull the Tribe of Polianians;;Rull the Tribe of Polianians;;;;;;;;;x
rule_polianians_desc;Become High Chief of Polianians and lead your brethren to glory.;Become High Chief of Polianians and lead your brethren to glory.;Become High Chief of Polianians and lead your brethren to glory.;;Become High Chief of Polianians and lead your brethren to glory.;;;;;;;;;x
rule_slovenians;Rull the Tribe of Ilmen Slavs;Rull the Tribe of Ilmen Slavs;Rull the Tribe of Ilmen Slavs;;Rull the Tribe of Ilmen Slavs;;;;;;;;;x
